,clean_text
26,nordea group s operate profit increase in two thousand and ten by eighteen percent year on year to three point six four billion euro and total revenue by three percent to nine point three three billion euro
27,operate profit for the nine month period increase from thirteen eur eur six m while net sale increase from three hundred and ninety four eur eur seven m as compare to the corresponding period in two thousand and five
28,operate profit for the nine month period increase from three eur eur one m and net sale increase from sixty one eur eur five m as compare to the corresponding period in two thousand and seven
29,operate profit for the three month period increase from one eur eur two m while revenue increase from twenty eur eur two m as compare to the corresponding period in two thousand and five
30,the brazilian unit of finnish security solution provider f secure sign up one thousand five hundred new client last year online news source reseller web quote the division s commercial director vladimir brand+_o as say
31,the company s net profit rise eleven point four on the year to eighty two point two million euro in two thousand and five on sale of six hundred and eighty six point five million euro thirteen point eight up on the year the company say early
32,the lithuanian beer market make up fourteen point four one million liter in january a rise of zero point eight percent from the year early figure the lithuanian brewer association report cite the result from its member
33,vike line s cargo revenue increase by five point four to twenty one point four six eur eur mn and cargo volume increase by two point four to seventy thousand one hundred and sixteen cargo unit
34,the fair value of the property portfolio double as a result of the kapiteeli acquisition and total two thousand six hundred and eighty six point two eur eur one thousand two hundred and fifty nine point seven million
35,ten february two thousand and eleven finnish medium company sanoma oyj hel saa one v say yesterday its two thousand and ten net profit almost triple to two hundred and ninety seven eur eur three m from one hundred and seven eur eur one m for two thousand and nine and announce a proposal for a raise payout
36,a helsinki eliiv today report ep of one eur eur thirteen for two thousand and nine an increase over ep of one eur eur twelve in two thousand and eight
37,aspo plc stock exchange release february eleven two thousand and eleven at eight forty five a.m. esl shipping ltd part of aspo group have sign a new long term contract with rautaruukki corporation for the marine transport of raw material on the baltic sea
38,commission income increase by twenty two to four point four eur eur mn and lend volume rise by thirteen point five
39,in january traffic measure in revenue passenger kilometre rpk go up by three point two and capacity measure in available seat kilometre ask rise by twelve point two
40,in january september two thousand and ten fiskar net profit go up by fourteen year on year to sixty five point four eur eur million and net sale to five hundred and twenty five point three eur eur million from four hundred and eighty seven point seven eur eur million
41,net income from life insurance rise to sixteen point five eur eur mn from fourteen point zero eur eur mn and net income from non life insurance to twenty two point six eur eur mn from fifteen point two eur eur mn in two thousand and nine
42,nyrstar have also agree to supply to talvivaara up to one hundred and fifty thousand tonne of sulphuric acid per annum for use in talvivaara s leach process during the period of supply of the zinc in concentrate
43,sale for both the department store division and hobby hall increase by seven while sale for the clothing store subsidiary seppala decrease by four
44,sale have rise in other export market
45,sale increase due to grow market rate and increase operation
46,the agreement strengthen our long term partnership with nokia siemens network
47,the agreement be sign with biohit healthcare ltd the uk base subsidiary of biohit oyj a finnish public company which develop manufacture and market liquid handling product and diagnostic test system
48,the company also estimate the already carry out investment to lead to an increase in its net sale for two thousand and ten from two thousand and nine when they reach one hundred and forty one point seven eur eur million
49,the company s order book stand at one point five bln euro dollars two point two bln on september thirty two thousand and seven up by twenty four point two pct on the year with international order amount to three hundred and sixty five mln euro dollars five hundred and thirty four point three mln
50,the company say that paper demand increase in all of its main market include of publication paper and that it increase average paper price by four percent compare with last year
51,the world s second large stainless steel maker say net profit in the three month period until dec . thirty one surge to euro six hundred and three million usdollars seven hundred and eighty one million or euro three thirty three usdollars four point three one per share from euro one hundred and seventy two million or euro zero ninety four per share the previous year
52,within the framework of the partnership nokia siemen network have sign an initial framework purchase agreement with sitronic subsidiary jsc mikron which be the large manufacturer and exporter of microelectronic component in russia
53,seppala s revenue increase by zero point two to ten eur eur one m. in finland revenue go down by two point four to six eur eur eight m while sale abroad rise by six point two to three eur eur three m. sale increase in all the baltic country as well as in russia and ukraine
54,share of standard charter stan rise one point two in the ftse one hundred while royal bank of scotland rbs share rise two and barclay share barc bcs be up one point seven
55,share of nokia corp . rise thursday after the cell phone maker say its third quarter earn almost double and its share of the global handset market increase
56,in its financial report publish on friday seb say its net profit soar to sek six seven hundred and forty five bn in two thousand and ten from a year early sek one one hundred and fourteen bn and propose a fifty dividend increase to sek one fifty per share
57,sale for the department store division increase by fifteen and sale for the clothing store subsidiary seppala increase by eight meanwhile sale for hobby hall decrease by twelve
58,at the request of finnish medium company alma medium s newspaper research manager jari kaivo oja at the finland future research centre at the turku school of economic have draw up a future scenario for finland s national economy by use a model develop by the university of denver
59,in sweden gallerix accumulate sek denominate sale be down one and eur denominate sale be up eleven
60,the company support its global customer in develop new technology and offer a fast route from product development to application and volume production
61,when this investment be in place atria plan to expand into the moscow market
62,` ` the new agreement be a continuation to theagreement sign early this year with the lemminkainen group whereby cramo acquire the entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo and sign asimilar agreement say tatu hauhio manage director ofcramo finland
63,at first the contract envisage the construction of three ferryboat with an option for two more unit far confirm at a total value of five hundred mln euro dollars six hundred and forty five point eight mln
64,in june it sell a thirty percent stake to nordstjernan and the investment group have now take up the option to acquire eqt s remain share
65,kesko corporation stock exchange release twenty eight point zero two two thousand and eight at nine point three zero one one kesko corporation and aspo plc today sign an agreement by which aspo acquire the share capital of kauko telko ltd a subsidiary wholly own by kesko
66,sponda plc stock exchange release five december two thousand and six at fifteen point four five one point five eur eur billion syndicate credit facility for sponda sponda have sign an agreement for a one year syndicate credit facility for a total of one point five eur eur billion
67,stock exchange announcement twenty july two thousand and six one one basware share subscription with warrant and increase in share capital a total of one hundred and nineteen eight hundred and fifty share have be subscribe with basware warrant program
68,the contract cover hdo platform ac eight hundred and cxe eight hundred and eighty optical fttb node design to increase the forward and return path capacity of the transmission network
69,the new plant be plan to have an electricity generation capacity of up to three hundred and fifty megawatt mw and the same heat generation capacity
70,the omx helsinki twenty five index be up zero point nine two pct at two thousand five hundred and eighteen point six seven and the helsinki cap portfolio index be zero point nine one pct high at four thousand seven hundred and eleven point one nine
71,so the sale growth of car considerably influence on the tire market
72,a maximum of six hundred and sixty six thousand one hundred and four new share can far be subscribe for by exercise b option under the two thousand and four stock option plan
73,as a result of the share issue the number of the company s share increase by three hundred and ninety one thousand six hundred and thirty share and the share capital by a total of fifteen thousand six hundred and sixty five point two zero eur eur
74,finnish real estate investor sponda plc say on wednesday twelve march that it have sign agreement with danske bank a s helsinki branch for a seven -year one hundred and fifty eur eur m credit facility and with ilmarinen mutual pension insurance company for a seven -year fifty eur eur m credit facility
75,on the route between helsinki in finland and tallinn in estonia cargo volume increase by thirty six while cargo volume between finland and sweden fall by nine
76,other measure include increase synergy and economy of scale within the grimaldi group and personnel adjustment divestment and redelivery of excess tonnage
77,rinkuskiai raise the sale by eighteen point one percent to one point three seven million liter while the sale of kauno alus grow by fourteen point three percent to nine hundred and sixty thousand liter
78,telecomworldwire- seven april two thousand and six -tj group plc sell stake in morning digital design oy finnish it company tj group plc say on friday seven april that it have sign an agreement on sell its share of morning digital design oy to edita oyj
79,telecomworldwire- seven april two thousand and six -tj group plc sell stake in morning digital design oy finnish it company tj group plc say on friday seven april that it have sign an agreement on sell its share of morning digital design oy to edita oyj
80,the seven hundred and eighteen thousand four hundred and thirty new series a share will become subject to trading on the helsinki stock exchange s main list together with the old series a share on july three two thousand and six
81,the fuel purchase contract have be sign with three month delivery from this september to november
82,tiimari operate one hundred and ninety four store in six country include its core finnish market and generate a turnover of seventy six point five mln eur in two thousand and five
83,under this agreement biohit become a focus supplier of pipettor and disposable pipettor tip to vwr customer throughout europe
84,the combination of all service enable we to offer a complex and strengthen service chain not only limit to the baltic port connection but also for get access to the world wide grimaldi network into the mediterranean africa and north america ` ` say uwe bakosch
85,no blind spot come from one vantage point allow investigator to see the whole story in high resolution with no unbroken video
86,the company still expect its turnover in two thousand and ten to slightly increase from the level of two thousand and nine add that ` ` market predictability be still too poor for trustworthy forecast on the market development of the contract manufacturing business during the current year
87,the acquisition will considerably increase kemira s sale and market position in the russian metal industry coat market
88,in january september two thousand and seven finnline net sale rise to five hundred and five point four eur eur mn from four hundred and seventy three point five eur eur mn in the corresponding period in two thousand and six
89,adjust for change in the group structure the division s net sale increase by one point seven
90,` ` the change will optimize the operational efficiency of our grow business say julia prohaska director of marketing communication for fiskar
91,` ` they would invest not only in the physical infrastructure but would also provide know how for manage and develop science and technology park say sunrise valley director andrius bagdona
92,four february two thousand and eleven finnish broadband datum communication system provider teleste oyj hel tlt one v see its net profit jump to two eur eur one m for the last quarter of two thousand and ten from nine hundred and ninety five eur eur zero for the same period of two thousand and nine
93,finnish aktia group s operate profit rise to seventeen point five eur eur mn in the first quarter of two thousand and ten from eight point two eur eur mn in the first quarter of two thousand and nine
94,finnish bank of land s consolidate net operating profit increase from four point eight eur eur mn in the first quarter of two thousand and five to six point four eur eur mn in the first quarter of two thousand and six
95,finnish financial group aktia report operate profit of forty four point four eur eur mn in january september two thousand and nine up from thirty seven point three eur eur mn in the corresponding period in two thousand and eight
96,finnish high technology provider vaahto group report net sale of forty one point eight eur eur mn in the accounting period september two thousand and seven february two thousand and eight an increase of eleven point two from a year early
97,net sale of finnish food industry company l+ nnen tehtaat s continue operation increase by thirteen in two thousand and eight to three hundred and forty nine point one eur eur mn from three hundred and nine point six eur eur mn in two thousand and seven
98,an individual promotion also generate slightly high than expect revenue
99,biohit already service many current genesis customer and the customer base be expect to expand as a result of this agreement
100,both operate profit and turnover for the three month period increase respectively from zero eur eur nine m and eight eur eur three m as compare to the corresponding period in two thousand and five
101,circulation revenue have increase by five in finland and four in sweden in two thousand and eight
102,clothing chain sepp+ l+ be net sale increase by seven point zero to thirty point eight eur eur mn
103,construction volume meanwhile grow at a rate of ten fifteen percent annually
104,finnish and swedish construction market be still experience an estimate four annual growth in two thousand and eight
105,however biohit estimate its total net sale will continue to grow in two thousand and nine and that favourable trend in net sale will lead to a profit in two thousand and nine
106,in two thousand and nine fiskar cash flow from operate activity amount to one hundred and twenty one eur eur m up from ninety seven eur eur m in the previous year
107,in lithuania operate profit rise to one hundred and ninety thousand eur eur from seventy thousand eur eur in the corresponding period in two thousand and five
108,in the fourth quarter of two thousand and eight net sale increase by two to one thousand and fifty point seven eur eur mn from one thousand and twenty seven point zero eur eur mn in the fourth quarter of two thousand and seven
109,international sale rise by fifty nine point eight to one thousand two hundred and forty four point four eur eur mn
110,kalmar espana generate net sale of some eleven point three mln euro dollars fourteen point eight mln in two thousand and five
111,net sale grow in the period to x twenty ac four hundred and two million dollars five hundred and eighty five we million from x twenty ac four hundred and one million in two thousand and six
112,net sale increase to six hundred and fifty five eur eur m in april to june two thousand and ten from four hundred and thirty eight eur eur m a year early
113,net sale rise by twenty five point five year on year to fifty nine eur eur six m as the number of charger deliver go up by forty one to sixty five point nine million piece
114,net sale total ninety three point six eur eur mn up from ninety three point two eur eur mn in the corresponding period in two thousand and five
115,nokia also note the average selling price of handset decline during the period though its mobile phone profit margin rise to more than twenty two percent from thirteen percent in the year ago quarter
116,operate profit increase by one hundred and forty five point one to eight point three eur eur mn from three point four eur eur mn
117,operate profit margin increase from eleven point two to eleven point seven
118,operate profit rise to three point one one eur eur mn from one point two two eur eur mn in the corresponding period in two thousand and nine
119,operate profit rise to five eur eur mn from two point eight eur eur mn in the fourth quarter of two thousand and eight
120,operate profit be twenty four point five eur eur mn up from twenty three point zero eur eur mn
121,ramirent s net sale in the second quarterende june thirty be euro one hundred and twenty eight point seven million about u.s . dollars one hundred and sixty three million a three point three -percent increase compare with euro one hundred and twenty four point six million for thesecond quarter last year
122,revenue grow by two percent to x twenty ac five hundred and eighty million dollars seven hundred and forty three million from x twenty ac five hundred and sixty nine million
123,ruukki announce that it have sign an agreement with aker solution of norway to supply twenty four suction anchor in september two thousand and ten from its kalajoki unit in finland
124,ruukki s delivery volume and sell price show favourable development and the company s comparable net sale grow by fifty year on year to six hundred and forty seven eur eur m ceo sakari tamminen say
125,sanoma magazine net sale be estimate to grow in two thousand and six
126,the bank forecast finland s gdp will grow by two in two thousand and ten and in two thousand and eleven
127,the circuit s overall production rate on a weekly basis be now in excess of an average of forty thousand tonne per day with volume in excess of fifty thousand tonne per day be reach on individual day
128,the company s consolidated operating profit amount to fifteen point eight six eur eur mn up from four point one four eur eur mn year on year
129,the department store division report an increase in sale of four per cent
130,the fair value of the company s investment property grow to two point eight zero three eur eur billion at the end of march two thousand and nine from two point six nine one eur eur million a year ago
131,the last quarter be the good quarter of two thousand and nine in net sale and the operate margin rise to twelve point two
132,the major brewery increase their domestic beer sale by four point five per cent last year to two hundred and fifty six point eight eight million litre from two hundred and forty five point nine two million litre in two thousand and four
133,the transaction double tecnoman workforse and add a fourth to their net sale
134,operate profit rise by twenty six point nine to one hundred and five point eight eur eur eighty three point four million
135,` ` after this purchase cramo will become the second large rental service provider in the latvian market
136,` ` the priority for two thousand and nine be to strengthen the company s balance sheet and increase cash flow ceo hannu krook say
137,` ` the purchase of the operation be part of yit s strategy to expand its offering of build system service geographically
138,twenty one october two thousand and ten finnish fishing tackle company rapala vmc corp hel rap one v say today its net profit rise to eighteen eur eur nine m for the first nine month of two thousand and ten from fifteen eur eur one m for the same period a year early
139,a structure bim build information model software from tekla a model base software provider have be adopt for the construction management and delivery of a university project in abu dhabi
140,accord to finnish metso mineral the value of the company s order have go up to one point nine eur eur bn in twelve month
141,finnish aldata solution have sign a contract of supply its g.o.l.d . system to two french retail chain
142,finnish bank of land report its operate profit rise to twenty one point three eur eur mn in the second quarter of two thousand and nine from six point one eur eur mn in the corresponding period in two thousand and eight
143,finnish financial group aktia s operate profit for two thousand and nine increase to forty seven point zero eur eur mn from six point six eur eur mn in two thousand and eight
144,finnish forest machinery manufacturer ponsse s net sale grow to fifty one point three eur eur mn in the first quarter of two thousand and ten from thirty seven point five eur eur mn in the corresponding period in two thousand and nine
145,finnish kci konecrane have raise its net sale growth estimate for two thousand and six from over twenty five to over thirty five
146,finnish okmetic that manufacture and process silicon wafer for the semiconductor and sensor industry and norwegian solar wafer company norsun have sign a contract under which okmetic will supply norsun mono silicon crystal for use in solar cell manufacturing
147,finnish pharmaceutical company orion s net sale rise to one hundred and ninety eur eur mn in the first quarter of two thousand and nine from one hundred and eighty eur eur mn in the first quarter of two thousand and eight
148,finnish ponsse have sign an agreement with babcock africa for the distribution and support of ponsse forest machine harvester head and information system in south africa
149,south african sappi will become the large foreign forest industry company operate in finland as a result of the acquisition finnish m real corporation s graphic paper business unit
150,accord to deputy md pekka silvennoinen the aim be double turnover over the next three year
151,accord to hkscan finland the plan be to increase j+ rvi suomen portti s net sale to eighty eur eur mn to one hundred eur eur mn
152,advertise and circulation revenue grow by three point four and by zero point four respectively
153,after the takeover cramo will become the second large rental service provider in the latvian market
154,again the most significant sale increase of eighteen point six be in russia
155,alma medium expect its net sale to increase as forecast previously
156,also lemmink+ inen s profit for account period go up to three point one eur eur mn from eur twenty four point five mn a year ago
157,at the end of march two thousand and seven the group s order book be at thirty nine point six eur eur mn up forty two from the corresponding period in two thousand and six
158,at the same time profit of the company increase by ten in h one and reach ls seventy nine thousand
159,aviation system maintenance be base in kansas and generate net sale of two point six usd usd million for two thousand and eight
160,besides we have increase the share of meat in various sausage and be offer a number of new taste in the grill product and shish kebab segment paavel say
161,both operate profit and net sale for the twelve -month period increase respectively from ten eur eur five m and twenty eight eur eur eight m as compare to the financial year two thousand and four
162,both operate profit and net sale for the twelve -month period increase respectively from twenty eur eur eight m and one hundred and seventy seven eur eur seven m as compare to the financial year two thousand and four
163,both operate profit and net sale for the twelve -month period increase respectively from twenty one eur eur five m and one hundred and ninety six eur eur one m as compare to two thousand and five
164,both operate profit and net sale for the twelve -month period increase respectively from four eur eur seven m and twenty six eur eur seven m as compare to two thousand and four
165,both operate profit and net sale for the nine month period increase respectively by twenty six point six and three point four as compare to the corresponding period in two thousand and six
166,both operate profit and net sale for the six month period increase respectively from thirteen eur eur eight m and one hundred and forty three eur eur six m as compare to the corresponding period in two thousand and seven
167,both operate profit and net sale for the six month period increase respectively from zero eur eur four m and three eur eur two m as compare to the corresponding period in two thousand and five
168,both operate profit and net sale for the six month period increase respectively from eighteen eur eur one m and one hundred and twenty seven eur eur six m as compare to the corresponding period in two thousand and six
169,both operate profit and net sale for the six month period increase respectively from seven eur eur five m and six hundred and fifty five eur eur five m as compare to the corresponding period in two thousand and five
170,both operate profit and net sale for the three month period increase respectively from fifteen eur eur one m and one hundred and thirty one eur eur five m as compare to the corresponding period in two thousand and five
171,both operate profit and net sale for the three month period increase respectively from sixteen eur eur zero m and one hundred and thirty nine eur eur m as compare to the corresponding quarter in two thousand and six
172,both operate profit and sale for the three month period increase respectively from zero eur eur three m and thirteen eur eur one m as compare to the corresponding period in two thousand and five
173,both operate profit and turnover for the nine month period increase respectively from two eur eur four m and forty three eur eur eight m as compare to the corresponding period a year ago
174,both operate profit and turnover for the six month period increase respectively from seventeen eur eur six m and one thousand one hundred and forty nine eur eur nine m as compare to the corresponding period in two thousand and seven
175,both operate profit and turnover for the six month period increase respectively from zero eur eur one m and twenty nine eur eur zero m as compare to the corresponding period a year ago
176,cargo volume grow by seven
177,cargo volume increase by approximately five
178,comparable operate profit total eight hundred and fifty four eur eur mn up from seven hundred and thirty eur eur mn in two thousand and four
179,digia say its consolidate net sale for january june two thousand and ten be sixty seven eur eur eight m up nine point seven on the same period in two thousand and nine sixty one eur eur nine m
180,dilute earn per share ep rise to zero point two nine eur eur from zero point zero five eur eur
181,dilute earn per share ep rise to zero point five two eur eur versus zero point zero nine eur eur
182,dilute earn per share ep rise to one point zero five eur eur from zero point six four eur eur
183,dilute earn per share ep rise to three point six eight eur eur from zero point five zero eur eur
184,dilute ep rise to three eur eur sixty eight from zero eur eur fifty
185,ebit margin be up from one point four to five point one
186,editor s note grimaldi generate a one point seven bln euro dollars two point one eight two bln turnover in two thousand and five ansa report on may twenty nine two thousand and six
187,ep for the quarter be zero eur eur zero as compare with zero eur eur one in the third quarter of two thousand and eight represent a group net sale for the third quarter be fifteen eur eur three m up by two point eight as compare with fourteen eur eur nine m in the third quarter of two thousand and eight
188,ep from continue operation come in at zero point three zero eur up from zero point one seven
189,equity ratio be sixty point nine compare to fifty four point two in the third quarter of two thousand and seven net sale of the frozen food business total eleven point zero eur eur up by about five from the third quarter of two thousand and six
190,nine hundred and twenty eight eur eur zero in q one two thousand and ten six may two thousand and ten finnish textile and clothing design company marimekko oyj hel mmo one v say today its net profit rise to nine hundred and twenty eight eur eur zero in the first quarter of two thousand and ten from thirteen eur eur zero in the corresponding period a year early
191,finland base elcoteq se a privately hold provider of electronic manufacturing service to communication company say thursday it sign a long term manufacture supply deal with communication equipment company andrew corp .
192,finnish cutlery and hand tool maker fiskar oyj abp hel fisas say today its net profit rise to twenty four point one eur eur million thirty three point six usd usd m in the third quarter of two thousand and ten from seventeen point nine eur eur million a year early
193,finnish department store chain stockmann oyj abp net profit rise to thirty nine point eight mln euro dollars fifty six point eight mln for the first nine month of two thousand and seven from thirty seven point four mln euro dollars fifty three point four mln for the same period of two thousand and six
194,finnish lifting equipment maker konecrane oyj say on july thirty two thousand and eight that its net profit rise to seventy one point two mln euro dollars one hundred and eleven point one mln for the first half of two thousand and eight from fifty seven point one mln euro dollars eighty nine point one mln for the same period of two thousand and seven
195,finnish message solution developer tecnoman corporation omx helsinki tem one v say on thursday eleven december that it have receive an expansion order for its convergent charge solution in latin america
196,finnish metal industry solution supplier outotec oyj net profit rise to fifty point four mln euro dollars seventy two point five mln for the first nine month of two thousand and seven from twenty point one mln euro dollars twenty eight point nine mln for the same period of two thousand and six
197,finnish metal product company componenta oyj net profit rise to twenty six point one mln euro dollars thirty five point nine mln for the first quarter of two thousand and seven from five point three mln euro dollars seven point three mln for the same period of two thousand and six
198,finnish office supply and computer accessory dealer beltton group plc say its net profit rise to one point three mln euro dollars one point seven mln in two thousand and six from one point one three mln euro dollars one point five mln in two thousand and five
199,finnish security and privacy software solution developer stonesoft oyj say on january seven two thousand and eight that the preliminary sale of its stonegate product grow by fifty nine pct year on year to three point six mln euro dollars five point three mln for the fourth quarter of two thousand and seven
200,finnish silicon wafer technology company okmetic oyj omx helsinki okm one v report on thursday seven august an operate profit of five eur eur three m for the period january june two thousand and eight up from three eur eur three m in the corresponding period in two thousand and seven
201,finnish software developer do solution oyj say its net profit increase to three point five mln euro dollars four point six mln in two thousand and six from two point three mln euro dollars three point zero mln in two thousand and five
202,first quarter underlie operating profit rise to forty one mln eur from thirty three mln a year early
203,follow the acquisition relacom will strengthen its presence in finland serve operator and office market with mobile and fix network construction installation and maintenance service
204,for the first nine month of two thousand and ten the company s net profit rise to forty one eur eur m from thirty eur eur m for the corresponding period of two thousand and nine
205,helsinki afx retail and wholesale group kesko report net sale of six hundred and fifty nine point four mln eur for february an increase of ten point eight pct year on year
206,however net sale in two thousand and ten be see to have grow to five hundred and ninety eight eur eur three m from five hundred and eighty two eur eur three m in two thousand and nine
207,however sale return to growth in april june two thousand and ten ceo pekka eloholma say
208,ragutis which be control by the finnish brewery report a five point four -p cent rise in beer sale to ten point four four million litre and hold an eleven point zero nine -per cent market share
209,svytury utenos alu which be control by the nordic group baltic beverage hold bbh post a four point seven -per cent growth in beer sale for january may to forty six point two two million litre
210,in two thousand and seven contempu generate revenue of nok sixty nine point three approx
211,in addition kone sign a two year maintenance contract for the escalator
212,in december alone the member of the lithuanian brewer association sell a total of twenty point three million liter of beer an increase of one point nine percent from the sale of nineteen point nine two million liter in december two thousand and four
213,in january september two thousand and nine the group s net interest income increase to one hundred and twelve point four eur eur mn from seventy four point three eur eur mn in january september two thousand and eight
214,in q one of two thousand and ten bank of land s net interest income increase from nine point one eur eur mn to nine point seven eur eur mn
215,in sweden operate profit for the period under review total three point four eur eur mn up thirty point eight from the corresponding period in two thousand and five
216,in the fourth quarter of two thousand and nine orion s net profit go up by thirty three point eight year on year to thirty three eur eur m
217,in the second quarter of two thousand and ten the group s net profit rise to three point one eur eur million from two point five eur eur million in april june two thousand and nine
218,in the second quarter of two thousand and ten the group s net profit rise to three eur eur one m from two eur eur five m in april june two thousand and nine
219,in the third quarter net sale increase by twelve year on year to one hundred and fifty nine point five eur eur million or by six at comparable currency rate growth
220,in the third quarter net sale increase by twelve year on year to one hundred and fifty nine eur eur five m or by six at comparable currency rate growth
221,incap estimate it will generate a revenue of ten mln euro dollars thirteen point two mln from its indian operation for two thousand and seven
222,its market share widen to forty eight point five one percent from forty eight point three one percent a year early
223,its total annual revenue come up to about one hundred and sixty mln zloty dollars fifty six point nine mln- forty two three mln euro
224,kesko agro eesti the retailer and wholesaler of grain agricultural and warehousing machinery and accessory have net sale of eighty one million euro in two thousand and seven an increase by one tenth over the precede year
225,kesko be car import and retailing business vv auto see sale grow by seventeen point one pct
226,kone s net sale rise by some fourteen year on year in the first nine month of two thousand and eight
227,adp news feb eleven two thousand and nine finnish management software solution provider ixono oyj hel xns one v say today its net profit rise to three point five eur eur million four point five usd usd m for two thousand and eight from three point one eur eur million for two thousand and seven
228,adp news feb twelve two thousand and nine finnish it solution provider affecto oyj hel afe one v say today its net profit rise to eight point five eur eur million eleven usd usd m in two thousand and eight from seven eur eur million in two thousand and seven
229,adp news feb six two thousand and nine finnish fishing tackle company rapala vmc corp hel rap one v say today its net profit rise to nineteen point two eur eur million twenty four point six usd usd m for two thousand and eight from seventeen point five eur eur million for two thousand and seven
230,adp new nov five two thousand and eight finnish electronic measurement product and solution maker vaisala oyj omx vaias say today that its net profit rise to eighteen eur eur million twenty three point one usd usd m for the first nine month of two thousand and eight from one eur eur
231,adp news oct twenty nine two thousand and eight finnish lifting equipment maker konecrane oyj omx kcr one v say today that its net profit rise to one hundred and sixteen point six eur eur million one hundred and forty nine point one usd usd m in the first nine month of two thousand and eight from seventy three point six eur eur million for the s
232,metso expect its net sale to increase by about ten in two thousand and eight at comparable exchange rate
233,m real generate a turnover of five eur eur six bn in two thousand and six and have fifteen thousand five hundred employee
234,neste oil corp . have sign long term procurement contract with honkajoki oy and find protein oy both own by finnish food manufacturer for the supply of animal fat for biodiesel production at neste s two hundred thousand b cd porvoo finland refinery
235,net interest income increase by four point five to thirty one point four eur eur mn from thirty point zero eur eur mn in two thousand and four
236,net interest income be one hundred and fifty two point two eur eur mn up from one hundred and one point zero eur eur mn in two thousand and eight
237,net interest income be thirty nine point three eur eur mn up from thirty two point seven eur eur mn
238,net sale of the vegetable oil business rise to ten point six eur eur mn from ten point one eur eur mn
239,nokia multimedia s net sale total five point seven eur eur bn up forty five from the corresponding period in two thousand and five
240,operate income rise to six hundred and ninety six point four eur eur mn from six hundred point three eur eur mn in two thousand and nine
